Linc,Cm,Ofl,Tmp,Var5
200,0,0,0.27,0.64243
200,0,0,0.3,0.56516
200,0,0,0.33,0.51342
200,0,4,0,0.98426
200,0,8,0,0.91243
200,0,12,0,0.98105
200,0,14,0,0.95893
200,0,16,0,0.92887
200,0,20,0,0.93469
200,0,24,0,0.92497
200,0,28,0,0.82937
200,0,32,0,0.75304
200,0,36,0,0.53465
200,0,40,0,0.15178
200,0,44,0,0.05
200,0.1,0,0,0.96133
200,0.1,14,0.03,0.8457
200,0.2,0,0,0.91286
200,0.2,14,0.06,0.84151
200,0.3,0,0,0.85879
200,0.3,14,0.09,0.73752
200,0.4,0,0,0.85461
200,0.4,14,0.12,0.63858
200,0.5,0,0,0.80907
200,0.5,4,0.03,0.87234
200,0.5,8,0.06,0.7556
200,0.5,12,0.09,0.65055
200,0.5,14,0.15,0.5711
200,0.5,16,0.12,0.59291
200,0.5,20,0.15,0.53812
200,0.5,24,0.18,0.45215
200,0.5,28,0.21,0.33854
200,0.5,32,0.24,0.27622
200,0.5,36,0.27,0.19157
200,0.5,40,0.3,0.16295
200,0.5,44,0.33,0.13052
200,0.6,0,0,0.79068
200,0.6,14,0.18,0.5318
200,0.7,0,0,0.79859
200,0.7,14,0.21,0.48105
200,0.8,0,0,0.75142
200,0.8,14,0.24,0.47234
200,0.9,0,0,0.74819
200,0.9,14,0.27,0.41897
200,1,0,0,0.75425
200,1,14,0.3,0.37515
200,1.1,0,0,0.75021
200,1.1,14,0.33,0.31716
300,0,0,0,0.88347
300,0,0,0.03,0.90466
300,0,0,0.06,0.94933
300,0,0,0.09,0.82507
300,0,0,0.12,0.77075
300,0,0,0.15,0.74546
300,0,0,0.18,0.70581
300,0,0,0.21,0.68408
300,0,0,0.24,0.66042
300,0,0,0.27,0.61456
300,0,0,0.3,0.58273
300,0,0,0.33,0.55371
300,0,4,0,0.96031
300,0,8,0,0.91124
300,0,12,0,0.91926
300,0,16,0,0.87147
300,0,20,0,0.87377
300,0,21,0,0.8819
300,0,24,0,0.91874
300,0,28,0,0.89759
300,0,32,0,0.77677
300,0,36,0,0.554
300,0,40,0,0.33816
300,0,44,0,0.12003
300,0.1,0,0,0.86537
300,0.1,21,0.03,0.89205
300,0.2,0,0,0.82485
300,0.2,21,0.06,0.85192
300,0.3,0,0,0.79924
300,0.3,21,0.09,0.70415
300,0.4,0,0,0.77406
300,0.4,21,0.12,0.62131
300,0.5,0,0,0.72443
300,0.5,21,0.15,0.5708
300,0.6,0,0,0.68204
300,0.6,21,0.18,0.55161
300,0.7,0,0,0.64759
300,0.7,21,0.21,0.46244
300,0.75,0,0,0.61908
300,0.75,4,0.03,0.66104
300,0.75,8,0.06,0.65464
300,0.75,12,0.09,0.69416
300,0.75,16,0.12,0.61284
300,0.75,20,0.15,0.574
300,0.75,24,0.18,0.51758
300,0.75,28,0.21,0.38437
300,0.75,32,0.24,0.31293
300,0.75,36,0.27,0.21322
300,0.75,40,0.3,0.17651
300,0.75,44,0.33,0.16553
300,0.8,0,0,0.59056
300,0.8,21,0.24,0.44479
300,0.9,0,0,0.58215
300,0.9,21,0.27,0.39895
300,1,0,0,0.56268
300,1,21,0.3,0.38326
300,1.1,0,0,0.49538
300,1.1,21,0.33,0.35079
400,0,0,0,0.80006
400,0,0,0.03,0.82868
400,0,0,0.06,0.79754
400,0,0,0.09,0.84573
400,0,0,0.12,0.73573
400,0,0,0.15,0.69867
400,0,0,0.18,0.68556
400,0,0,0.21,0.67255
400,0,0,0.24,0.68481
400,0,0,0.27,0.6036
400,0,0,0.3,0.53926
400,0,0,0.33,0.51442
400,0,4,0,0.82752
400,0,8,0,0.84289
400,0,12,0,0.8607
400,0,16,0,0.76108
400,0,20,0,0.78028
400,0,24,0,0.78712
400,0,28,0,0.79009
400,0,32,0,0.72127
400,0,36,0,0.52909
400,0,40,0,0.36451
400,0,44,0,0.21912
400,0.1,0,0,0.78971
